a	а
onus	онус
onward	вперед
onyx	онікс
oodles	величезна кількість
oomph	омф
ooze	сочи
opal	опал
opaque	непрозорий
open	відчинено
opening	відкриття
opera	опера
operate	оперувати
operation	операція
operative	оперативний
operator	оператор
operetta	оперета
opiate	опіат
opine	опин
opinion	думка
opium	опіум
opossum	опоссум
opponent	опонент
opportune	сприятливий
opportunism	опортунізм
opportunity	можливість
oppose	протиставити
opposite	навпроти
opposition	опозиція
oppress	гнобити
opprobrious	грізний
opt	опт
optic	оптичний
optical	оптичний
optician	оптик
optimism	оптимізм
optimum	оптимальний
option	варіант
opulence	багатство
opus	опус
or	або
oracle	оракул
oral	усний
orange	помаранчевий
orate	орат
oration	орація
orator	оратор
oratorio	ораторія
oratory	ораторське мистецтво
orb	куля
orbit	орбіта
orchard	фруктовий сад
orchestra	оркестр
orchestrate	оркестр
orchid	орхідеї
ordeal	випробування
order	замовлення
orderly	впорядкований
ordinal	порядковий
ordinance	обряд
ordinary	звичайний
ordination	висвячення
ordnance	боєприпаси
ordure	кактура
ore	руда
organ	орган
organic	органічні
organism	організм
organization	організації
organize	організувати
orgasm	оргазм
orgiastic	оргазматичний
orgy	оргія
oriel	еркер
orient	орієнтуватися
oriental	східний
orientate	орієнтуватися
orifice	отвір
origin	походження
original	оригінальний
originate	зароджуються
oriole	оріол
ormolu	ормолу
ornament	орнамент
ornate	прикрашений
ornithology	орнітологія
orotund	оротунд
orphan	сирота
orthodontics	ортодонтія
orthodox	православні
orthography	орфографія
oscillate	коливатися
oscilloscope	осцилоскоп
osier	осіє
osmium	осмій
osmosis	осмос
osprey	опрей
ossify	окостеніти
ostensible	нібито
ostentation	показник
ostentatious	показовий
osteopathy	остеопатія
ostler	конюх на заїжджому дворі
ostracize	ухилятися
ostrich	страус
other	інший
otherwise	інакше
otiose	отіоза
otter	видра
ottoman	тахта
oubliette	вубліет
ouch	ой
ought	повинно
ounce	унція
our	наші
ours	наші
ourselves	самих себе
oust	витіснити
out	з
outback	глибинка
outbalance	дисбаланс
outbid	перехитрити
outboard	підвісний
outbreak	спалах
outbuilding	господарська споруда
outburst	вибух
outcast	ізгоєм
outclass	перемогти
outcome	результат
outcrop	відслоїти
outcry	викрик
outdated	застаріла
outdistance	перевагу
outdo	перевершити
outdoor	відкритий
outdoors	на відкритому повітрі
outer	зовнішній
outface	поверхня
outfall	випадання
outfield	виїзд
outfight	перестрілка
outfit	спорядження
outflank	виїзд
outflow	відплив
outfox	аутфікс
outgoing	вихідний
outgrow	перерости
outgrowth	наростання
outhouse	надвір
outing	виїзд
outlandish	чужий
outlast	переживати
outlaw	поза законом
outlay	витрати
outlet	розетка
outline	контур
outlive	переживати
outlook	світогляд
outlying	зовнішній
outmatch	перевагу
outmoded	застарілий
outnumber	перевищувати
outpatient	амбулаторно
outplay	обіграти
outpoint	точка
outpost	форпост
outpouring	витікання
output	вихід
outrage	обурення
outrageous	обурливий
outrank	перевершити
outrider	випереджаючий
outrigger	аутригер
outright	відверто
outrun	випередити
outset	початок
outshine	затьмарити
outside	зовні
outsider	стороння людина
outsize	негаразд
outskirts	околиці
outsmart	перехитрити
outspoken	відвертий
outspread	широко розповсюджений
outstanding	видатний
outstation	застава
outstretched	витягнутий
outstrip	випереджати
outvote	перехитрити
outward	назовні
outwear	верхній одяг
outwit	перехитрити
outwork	робота
outworn	переживати
ova	яйцеклітини
oval	овальні
ovary	яєчник
ovation	овації
oven	піч
over	над
overact	супект
overall	загалом
overarm	надмірність
overawe	оверсайз
overbalance	надбалансованість
overbear	перенапружуватися
overbid	надмірно
overblown	перекритий
overboard	за борт
overbore	переборщити
overburden	перевантажувати
overcapitalize	надкапіталізувати
overcast	похмуро
overcharge	переплата
overcoat	пальто
overcome	подолати
overcompensate	надмірно компенсувати
overcrowd	переповненість
overdo	перестаратися
overdose	передозування
overdraft	овердрафт
overdraw	перевитрати
overdress	переодягання
overdrive	перегнати
overdue	прострочена
overflow	переповнення
overfly	нальотом
overgrown	заросло
overgrowth	заростання
overhand	накладну
overhang	нависання
overhaul	капітальний ремонт
overhead	накладні
overhear	підслуховувати
overjoyed	перенапружений
overkill	надмірність
overland	суходіл
overlap	перекриття
overlay	накладення
overleaf	перекриття
overload	перевантаження
overlook	оминати
overlord	оверлорд
overly	надмірно
overmanned	переборщений
overmaster	начальник
overmuch	надміру
overnight	за ніч
overpass	шляхопровід
overpay	переплачувати
overplay	перегравати
overpower	пересилювати
overprint	надрукування
overrate	завищувати
overreach	перевиконати
override	перекрити
overrule	перекриття
overrun	переріс
oversee	наглядати
oversexed	перенаселений
overshadow	затьмарити
overshoe	оверсайз
overshoot	перевернути
overshot	простріл
oversight	нагляд
oversimplify	спрощувати
oversleep	переспати
overstaffed	завищений
overstate	завищувати
overstay	перестаратися
overstep	перебіг
overstock	надмірність
overstrung	надструнний
oversubscribed	переписка
overt	явний
overtake	наздоганяти
overtax	перенарахування
overthrow	повалення
overtime	через деякий час
overtone	обертони
overture	увертюра
overturn	перевернути
overview	огляд
overweening	непосильний
overweight	зайва вага
overwhelm	переповнення
overwork	перевтома
overwrought	перенапружений
oviduct	яйцепровід
oviparous	яєчні
ovoid	яйцеподібні
ovulate	овуляція
ovum	яйцеклітина
owe	заборгувати
owing	за рахунок
owl	сова
own	власний
ox	віл
oxide	оксид
oxyacetylene	оксацетилен
oxygen	кисень
oyster	устриця
ozone	озон
pa	па
pace	темп
pachyderm	пахідерма
pacific	тихий
pacification	умиротворення
pacifism	пацифізм
pacify	умиротворити
pack	пакувати
package	пакет
packet	пакет
packing	упаковка
pact	пакт
pad	колодка
paddle	весло
paddock	загони
paddy	рисовий
padlock	замок
padre	католицький священик
paean	переможна пісня
pagan	язичницький
page	сторінки
pageant	конкурс
pagination	пагинація
pagoda	пагода
paid	оплачується
pail	відросток
pain	біль
pains	болі
paint	фарба
painter	художник
painting	живопис
pair	пари
paisley	Пейслі
pal	товариш
palace	палац
palatable	смачний
palatal	піднебінний
palate	піднебіння
palatial	палациальний
palatinate	палантинат
pale	блідий
paleolithic	палеоліт
palette	палітра
palfrey	пальфрі
palimpsest	палімпсест
palindrome	паліндром
palisade	частокол
pall	паллу
palladium	паладій
pallet	піддон
palliate	паліати
pallid	блідий
pallor	блідість
pally	дружно
palm	долонею
palmetto	пальметто
palmist	пальміст
palpable	відчутний
palpitate	серцебиття
palsy	параліч
paltry	мізерний
pampas	пампас
pamper	балувати
pamphlet	брошура
pan	каструля
panacea	панацея
panache	панаше
panama	панама
panatella	панателла
panchromatic	панхроматичний
pancreas	підшлункова залоза
panda	панда
pandemic	пандемія
pandemonium	пандемоній
pander	розміщувач
pane	панель
panegyric	панегірик
panel	панель
pang	панг
panhandle	панхандле
panic	паніка
pannier	паньєр
panoply	панорамно
panorama	панорама
pansy	пані
pant	штанги
pantheism	пантеїзм
pantheon	пантеон
panther	пантера
panties	трусики
pantomime	пантоміма
pantry	комора
pants	штани
pap	пап
papa	тато
papacy	папство
papaya	папайя
paper	папір
papist	папіст
papoose	папуза
paprika	паприка
papyrus	папірус
par	абз
parable	притча
parabola	парабола
parachute	парашут
parade	парад
paradigm	парадигма
paradise	рай
paradox	парадокс
paraffin	парафін
paragon	парагон
paragraph	абзац
parakeet	папуга
parallel	паралельний
paralysis	параліч
parameter	параметр
paramilitary	воєнізований
paramount	першорядне значення
paranoia	параноїя
parapet	парапет
paraphernalia	атрибутика
paraphrase	перефразувати
parasite	паразит
parasol	парасолька
paratroops	десантники
paratyphoid	паратифоз
parboil	парбойл
parcel	посилка
parch	пергамент
parchment	пергамент
pardon	пробач
pare	блідий
parent	батьківський
parenthesis	дужки
pariah	парія
parish	парафія
parity	паритет
park	парк
parka	парка
parking	парковка
parlance	мови
parley	петрушка
parliament	парламент
parlous	згубний
parochial	приходський
parody	пародія
parole	умовно-дострокове звільнення
paroxysm	пароксизм
parquet	паркет
parricide	паррицид
parrot	папуга
parry	парирувати
parse	розбору
parsimony	парситизм
parsley	петрушка
parsnip	пастернак
parson	парсон
part	частина
partake	причащатися
parterre	партер
parthenogenesis	партеногенез
partial	частковий
participate	брати участь
participle	дієприкметник
particle	частинка
particular	зокрема
parting	розставання
partisan	партизан
partition	перегородка
partitive	частковий
partner	партнер
partook	причащався
partridge	куріпки
parturition	пологи
party	вечірка
parvenu	парвеню
paschal	пасхальний
pass	пропуск
passable	прохідний
passage	прохід
passbook	паспорт
passenger	пасажирський
passim	пасим
passing	мимохідь
passion	пристрасть
passionate	пристрасний
passive	пасивний
passkey	ключ доступу
passport	паспорт
password	пароль
past	минуле
pasta	макаронні вироби
paste	пасти
pastel	пастель
pastern	пастор
pasteurize	пастеризувати
pastiche	пастика
pastille	пастиль
pastime	проведення часу
pastor	пастор
pastoral	пасторальне
pastorate	душпастирство
pastry	випічка
pasture	пасовище
pasty	пастоподібний
pat	погладити
patch	пластир
patchouli	пачулі
pate	паштет
patella	кашлюк
patent	патент
paterfamilias	глава сім&#x27;&#x27;ї
paternal	батьківський
paternity	батьківство
paternoster	патерностер
path	шлях
pathetic	жалюгідний
pathology	патологія
pathos	пафос
patience	терпіння
patient	терплячий
patina	патина
patio	внутрішній дворик
patisserie	кондитерська
patois	патуа
patriarch	патріарха
patrician	патриція
patricide	патрицид
patrimony	вотчина
patriot	патріот
patrol	патрульний
patron	покровитель
patronage	заступництво
patronize	опікуватися
patronymic	по батькові
patsy	песик
patter	скоромовка
pattern	візерунок
patty	пиріжок
paucity	бідність
paunch	пуч
pauper	жабрак
pause	пауза
pave	прокладати
pavement	бруківка
pavilion	павільйон
paw	лапа
pawl	лапа
pawn	пішак
pawpaw	лапа
pay	платити
payment	оплата
payola	пайола
paywall	платоспроможність
pea	горох
peace	мир
peaceable	миролюбний
peaceful	мирний
peach	персик
peacock	павич
peak	пік
peal	шкірка
peanut	арахісу
pear	груша
pearl	перлина
peasant	селянин
peat	торф
pebble	галька
pecan	пекан
peccadillo	пекаділло
peccary	пекарі
peck	клювати
pectin	пектину
pectoral	грудний
peculate	грошовий
peculiar	своєрідний
pecuniary	грошові
pedagogue	педагог
pedal	педаль
pedant	педант
peddle	балончик
pederasty	педерастика
pedestal	постамент
pediatrics	педіатрія
pedicab	педикаб
pedicure	педикюр
pedigree	родовід
pediment	фронтон
pedometer	крокомір
peduncle	плодоніжка
pee	мочитися
peek	заглянути
peel	шкірка
peeler	лущильник
peen	підліток
peep	заглянути
peer	однолітка
peerage	пияріння
peeve	півірувати
peevish	підступно
peewit	чайка
peg	кілочок
pejorative	пейоративний
peke	піке
pekoe	пекое
pelf	пелф
pelican	пелікан
pellet	пелет
pellucid	пелюцид
pelmet	пеллет
pelt	шкірка
pelvis	таз
pemmican	пеммікан
pen	ручка
penal	пені
penalize	штрафувати
penalty	штраф
penance	покаяння
penchant	схильність
pencil	олівець
pendant	кулон
pendent	кулон
pending	в очікуванні
pendulous	маятниковий
pendulum	маятник
penetrable	непроникний
penetrate	проникнути
penetration	проникнення
penetrative	проникаючий
penguin	пінгвін
penicillin	пеніцилін
peninsula	півострів
penis	пеніс
penitence	покаяння
penitent	кається
penitential	покаянний
penitentiary	пенітенціарна
pennant	вимпел
penniless	без грошей
pennon	пенно
penny	копійки
penology	пенологія
pension	пенсія
pensive	задумливий
pent	пент
pentagon	п’ятикутник
pentameter	пентаметр
pentathlon	п&#x27;&#x27;ятиборство
penthouse	пентхаус
penultimate	передостаннє
penumbra	півтінь
penurious	жорстокий
peon	півонія
peony	півонія
people	Люди
pep	перець
pepper	перець
pepsin	пепсин
per	за пер
peradventure	передвентура
perambulate	перамбулювати
perambulator	перамбулятор
perceive	сприймати
percentage	процент
perceptible	відчутний
perception	сприйняття
perceptive	сприйнятливий
perch	окунь
perchance	вміння
percipient	персипієнт
percolate	перколат
percussion	перкусія
perdition	погибель
perdurable	грізний
peregrine	перегрин
peremptory	безперебійний
perennial	багаторічний
perfect	досконалий
perfection	досконалість
perfidious	підступний
perfidy	підступність
perforate	перфорація
perforce	виконувати
perform	виконувати
performance	виконання
perfume	парфуми
perfunctory	функціональний
pergola	пергола
perhaps	можливо
perigee	перигей
perihelion	перигелій
peril	небезпека
perimeter	периметр
period	періоду
periodic	періодичний
periodical	періодичні
peripatetic	перипатетичний
periphery	периферія
periphrasis	перифраз
periscope	перископ
perish	гинуть
peristyle	перистил
peritonitis	перитоніт
periwig	перивіг
periwinkle	барвінок
perjure	порушувати
perk	завивка
perm	завивка
permanence	постійність
permanent	постійний
permeate	пронизувати
permissible	допустимий
permission	дозвіл
permissive	вседозволений
permit	дозвіл
permutation	перестановка
permute	перестановка
pernicious	згубний
peroration	перорація
peroxide	перекис
perpendicular	перпендикулярний
perpetrate	вчинення
perpetual	вічний
perpetuate	увічнення
perpetuity	вічність
perplex	здивування
perquisite	вишуканий
persecute	переслідувати
persevere	наполегливо
persiflage	персифлаж
persimmon	хурма
persist	зберігаються
person	особа
persona	персона
personable	персональний
personage	персонаж
personal	особисті
personality	особистість
personalize	персоналізувати
personalty	особистість
personify	уособлюють
personnel	персонал
perspective	перспектива
perspex	плексиглас
perspicacious	проникливий
perspire	поту
persuade	переконати
persuasion	переконання
persuasive	переконливий
pert	перт
pertain	належати
pertinacious	непохитний
perturb	обурення
peruke	переконувати
peruse	ознайомитися
pervade	пронизувати
pervasive	всепроникний
perverse	збочений
perversion	збочення
perversity	згубність
pervert	збоченець
peseta	песета
pesky	досадно
peso	песо
pessary	песарій
pessimism	песимізм
pest	шкідник
pester	домагатися
pestilence	мор
pestle	пестик
pet	домашня тварина
petal	пелюстка
petard	петард
peter	петер
petite	маленька
petition	клопотання
petrel	буревісник
petrify	скам&#x27;&#x27;яніти
petrol	бензин
petroleum	нафта
petrology	петрологія
pettifogging	дрібничка
pettish	дріб&#x27;&#x27;язковий
petty	дріб&#x27;&#x27;язковий
petulant	гострий
petunia	петунія
pew	лапи
pewit	певит
pewter	осипати
phaeton	фаетон
phagocyte	фагоцит
phalanx	фаланга
phallus	фалос
phantasm	фантазм
phantom	фантом
pharmaceutical	фармацевтична
pharmacist	провізор
pharmacology	фармакологія
pharmacopoeia	фармакопея
pharmacy	аптека
pharynx	глотка
phase	фаза
pheasant	фазан
phenol	фенол
phenomenal	феноменальний
phenomenon	явище
phew	феу
phial	фіал
philander	філандр
philanthropy	філантропія
philately	філателія
philistine	міщанин
philology	філологія
philosopher	філософ
philosophy	філософія
phlebitis	флебіт
phlegm	мокрота
phlox	флокс
phobia	фобії
phoenix	фенікс
phone	телефон
phoneme	фонема
phonetic	фонетичний
phonic	фонічний
phonograph	фонограф
phonology	фонологія
phosphate	фосфат
phosphorescence	фосфоресценція
phosphorus	фосфор
photo	фото
photograph	фотографувати
photometer	фотометр
photon	фотон
photostat	фотостат
photosynthesis	фотосинтез
phrase	словосполучення
phrenology	френологія
phylum	тил
physic	фізика
physical	фізичні
physician	лікар
physicist	фізик
physics	фізика
physiognomy	фізіономія
physiology	фізіологія
physiotherapy	фізіотерапія
physique	статури
pi	пі
piano	фортепіано
pica	піка
picador	пікадор
picaresque	авантюрний
piccalilli	пікаліллі
piccolo	пікколо
pick	забрати
picker	підбирач
pickerel	соління
picket	пікет
picking	збирання
pickle	соління
picnic	пікнік
pictograph	піктограму
pictorial	живописний
picture	картина
picturesque	мальовнича
piddling	калючий
pidgin	підгін
pie	пиріг
piebald	пиріг
piece	шматок
piecemeal	шматок
pied	пієдний
pier	пристань
pierce	пронизувати
piety	благочестя
piffle	піффл
pig	свиня
pigeon	голуб
piglet	порося
pigment	пігмент
pike	щука
pilaf	плов
pilaster	пілястер
pilchard	головоломка
pile	ворс
piles	палі
pilfer	стовпчик
pilgrim	паломник
pill	таблетки
pillage	пограбування
pillar	стовп
pillion	мільйон
pillory	стовп
pillow	подушка
pilot	пілот
pimp	сутенер
pimpernel	сутенер
pimple	прищ
pin	шпилька
pinafore	фартух
pincers	кліщі
pinch	щіпка
pine	сосни
pineapple	ананас
ping	пінг
pinion	шестерня
pink	рожевий
pinnacle	вершина
pinnate	перистий
pinny	гострий
pint	пінта
pioneer	піонер
pious	благочестивий
pip	піп
pipe	труба
piper	дудар
pipette	піпетка
piping	трубопроводи
pippin	піппін
pipsqueak	дратівник
piquant	пікантний
pique	піке
piranha	піранья
pirate	пірат
pirouette	пірует
piscatorial	піскаторний
piss	мочити
pistachio	фісташки
pistil	маточка
pistol	пістолет
piston	поршень
pit	яма
pitch	крок
pitcher	глечик
piteous	жалюгідний
pith	корінь
pitiable	жалюгідний
pitiful	жалюгідний
pitiless	жалюгідний
piton	пітон
pittance	жалюгідність
pituitary	гіпофіз
pity	жалість
pivot	поворот
pixie	піксі
pizza	піца
pizzicato	піцикато
placard	плакат
placate	плакати
place	місце
placebo	плацебо
placenta	плацента
placid	спокійний
placket	планета
plagiarize	плагіат
plague	чума
plaice	мить
plaid	плед
plain	рівнина
plaint	потік
plaintiff	позивач
plaintive	жалісливий
plait	коса
plan	план
plane	площині
planet	планети
plangent	плангент
plank	дошка
plankton	планктон
plant	Рослина
plantain	подорожник
plantation	плантації
plaque	наліт
plasma	плазма
plaster	штукатурка
plastic	пластикові
plate	тарілка
plateau	плато
platform	платформа
plating	покриття
platinum	платина
platitude	висоту
platonic	платонічний
platoon	взвод
platter	блюдо
platypus	качканоса
plaudit	плаудіт
plausible	правдоподібний
play	грати
player	гравець
playful	грайливий
playing	граючи
plaza	площа
plea	благання
plead	благати
pleader	благальник
pleasant	приємний
pleasantry	приємний
please	будь ласка
pleasure	задоволення
pleat	плиснути
pleb	плеб
plebeian	плебейський
plebiscite	плебісцит
plectrum	плектрум
pledge	застава
plenary	пленарна
plenipotentiary	повноважний
plenitude	рясність
plenteous	рясний
plentiful	рясний
plenty	достаток
plethora	плетіння
pleurisy	плеврит
plexus	сплетення
pliable	податливий
pliant	податливий
pliers	плоскогубці
plight	тяжке становище
plimsoll	плімсолл
plimsolls	парусинові черевики
plinth	плінтус
plod	плюд
plonk	планка
plop	плюхтувати
plosive	полозистий
plot	сюжет
plover	хитрощі
plow	плуг
ploy	хитрощі
pluck	вищипати
plug	вилка
plum	слива
plumage	оперення
plumb	відвал
plumber	сантехнік
plumbing	сантехніка
plume	шлейф
plummet	обрив
plummy	поривчастий
plump	пухкий
plunder	грабувати
plunge	зануритися
plunk	збивати
pluperfect	плюперфект
plural	множина
pluralism	плюралізм
plurality	множинність
plus	плюс
plush	плюшевий
plutocracy	плутократія
plutonium	плутоній
ply	пластовий
pneumatic	пневматичний
pneumonia	пневмонія
poach	браконьєр
pock	коса
pocket	кишеньковий
pod	стручок
podcast	подкаст
podiatry	подіатрія
podium	подіум
poem	вірш
poesy	поетичне митстецтво
poet	поет
poetic	поетичний
poetics	поетика
poetry	поезії
pogrom	погром
poignant	гострий
poinsettia	пуансеттія
point	бал
pointblank	&quot;пряма наводка, прямо, рішуче, категорично&quot;
pointer	покажчик
pointless	безглуздо
poise	ураження
poison	отрута
poke	ткнути
poker	покер
polar	полярний
polarize	поляризувати
pole	полюс
polecat	тхір чорний
polemic	полемічний
police	поліція
policy	політика
polio	поліомієліт
poliomyelitis	поліомієліт
polish	шліфувати
politburo	політбюро
polite	ввічливий
politic	політичний
political	політичні
politician	політик
politicize	політизувати
politico	політикан
politics	політика
polity	ввічливість
polka	полька
poll	опитування
pollack	минтай
pollard	поллард
pollen	пилок
pollinate	запилюють
pollster	опитувальник
pollute	забруднювати
polo	поло
polonium	полоній
poltroon	півтрони
poly	полі
polyandry	поліандрія
polyester	поліестер
polygamy	багатоженство
polyglot	поліглот
polygon	багатокутник
polyhedron	багатогранник
polymath	полімат
polymer	полімер
polymorphous	поліморфний
polynomial	многочлен
polyp	поліп
polyphony	багатоголосся
polystyrene	полістирол
polysyllable	багатошаровий
polytechnic	політехнічні
polytheism	політеїзм
polythene	поліетилен
polyunsaturated	поліненасичені
pom	пом
pomade	помада
pomegranate	гранат
pommel	нарізка
pomp	помпезність
pompom	помпон
pompous	помпезний
ponce	поза
poncho	пончо
pond	ставок
ponder	розмірковувати
ponderous	важкий
pone	пон
poniard	поніард
pontiff	понтифік
pontifical	папський
pontificate	понтифікат
pontoon	понтон
pony	поні
poodle	пудель
poof	пуф
pooh	пух
pool	басейн
poop	пуп
poor	бідний
poorly	погано
poorness	бідність
pop	поп
pope	тато
popinjay	чепурун
poplar	тополя
poplin	поплін
poppa	мака
poppet	макуха
popping	вискакуючи
poppy	мак
populace	населення
popular	популярний
popularity	популярність
popularize	популяризувати
populate	заселяти
population	населення
populous	багатолюдний
porcelain	порцеляна
porch	ганок
porcine	свинячий
porcupine	дикобраз
pore	пор
pork	свинина
porn	порно
pornography	порнографія
porous	пористий
porphyry	порфір
porpoise	свинячий
porridge	каша
porringer	миска для каші
port	порт
portable	портативний
portage	перенос
portal	портал
portcullis	порткуліс
portend	передчувати
portent	поважний
porter	портитель
porterhouse	пивна
portfolio	портфоліо
porthole	ілюмінатор
portico	портик
portion	порція
portly	портливий
portmanteau	портманто
portrait	портрет
portray	зображувати
pose	позувати
poseur	позур
posh	шикарний
posit	позит
position	положення
positive	позитивний
positivism	позитивізм
posse	володіти
possess	володіти
possession	володіння
possessive	присвійний
possibility	можливість
possible	можливо
possum	опосум
post	пост
postage	поштові витрати
postal	поштовий
postdate	післядати
poster	плакат
posterior	задній
posterity	потомство
postgraduate	аспірантуру
posthumous	посмертно
postilion	постиліон
postmaster	пошту
postmortem	посмертний
postpone	відкласти
postprandial	постпрандіальне
postscript	постскрипт
postulate	постулат
posture	постава
posy	позувати
pot	горщик
potable	питний
potash	поташ
potato	картопля
potent	потужний
potentate	потентувати
potential	потенціал
pother	шум
potion	зілля
potluck	горщик
potpourri	попурі
pottage	гончарня
potted	горшкових
potter	гончар
potty	горщик
pouch	сумка
pouf	пуф
poulterer	птиця
poultice	припарки
poultry	птиця
pounce	накидатися
pound	фунт
poundage	фунт
pour	налити
pout	пух
poverty	бідність
powder	порошок
power	потужність
powerful	потужний
powerless	безсилий
pox	віспа
practicable	практичний
practical	практичні
practice	практика
practitioner	практикуючий лікар
pragmatic	прагматичний
pragmatism	прагматизм
prairie	прерія
praise	похвала
pram	коляска
prance	рецензія
prank	сваволя
praseodymium	празеодимій
prate	проте
prattle	балаканина
prawn	креветка
pray	молитися
prayer	молитва
preach	проповідувати
preamble	преамбула
prearrange	попередньо упорядкувати
precarious	нестабільний
precast	збірний
precaution	обережність
precede	передують
precedence	пріоритет
precedent	прецедент
precept	заповід
preceptor	рецептор
precinct	дільничний
preciosity	вишуканість
precious	дорогоцінний
precipice	обрив
precipitate	осад
precipitation	опадів
precipitous	осадовий
precise	точні
precision	точність
preclude	виключають
precocious	передчасний
precognition	передчуття
precondition	передумова
precursor	попередник
predatory	хижацька
predecease	попередньо
predecessor	попередник
predestination	зумовленість
predestine	наперед
predetermine	заздалегідь визначити
predicament	загроза
predicate	присудок
predicative	предикативний
predict	передбачити
predigest	перевагу
predilection	схильність
predispose	схильність
predisposition	схильність
predominant	переважаючий
predominate	переважають
preeminent	видатний
preen	преен
preexist	попереднє існування
prefab	збірний
prefabricate	збірний
preface	передмова
prefect	префект
prefecture	префектура
preference	уподобання
preferential	пільговий
preferment	перевагу
prefigure	префігурація
prefix	префікс
pregnant	вагітна
prehensile	прегеніле
prehistoric	доісторичні
prejudge	упередження
prejudice	упередження
prelacy	преля
prelate	прелат
prelim	преліум
preliminary	попередній
prelude	прелюдія
premarital	дошлюбний
premature	передчасний
premeditate	попереджати
premier	прем’єр
premise	приміщення
premium	премія
premonition	передчуття
prenatal	пренатальний
preoccupation	зайнятість
preoccupy	зайнятістю
prep	підготовка
prepackaged	розфасований
preparation	підготовка
preparatory	підготовчий
prepare	підготувати
prepay	передоплата
preponderant	переважаючий
preposition	прийменник
prepossess	передріччя
preposterous	дурний
preppy	пристрасний
prepuce	препуція
prerecord	попередній запис
prerequisite	передумова
prerogative	прерогатива
presage	дозування
presbytery	пресвітерія
prescient	давній
prescribe	прописувати
prescript	припис
prescription	рецепт
presence	наявність
present	теперішній
presentable	презентабельний
presentation	презентація
presentiment	передчуття
presently	в даний час
preservation	збереження
preservative	консервант
preserve	зберегти
preside	головувати
presidency	президентство
president	президент
presidium	президія
press	натиснути
pressure	тиск
pressurize	тиску
prestige	престиж
presto	престо
presumable	імовірно
presume	припускати
presumption	презумпція
presumptive	припухлий
presumptuous	самонадійний
presuppose	припускати
pretend	прикидатися
pretense	прикид
pretension	прикидання
pretentious	претензійний
preternatural	надприродний
pretext	привід
prettify	гарненький
pretty	досить
pretzel	кренделі
prevail	переважають
prevalent	поширений
prevaricate	дражнити
prevent	запобігти
preventative	профілактичний
prevention	профілактика
preventive	профілактичний
preview	попередній перегляд
previous	Попередній
prevision	передбачення
prey	здобич
price	ціна
prick	укол
prickle	колючка
pride	гордість
priest	священик
prig	приг
prim	прим
primacy	першість
primal	первісний
primary	первинний
primate	примат
prime	прем&#x27;&#x27;єр
primer	грунтовка
primeval	первісний
priming	грунтовка
primitive	примітивні
primogeniture	первісність
primordial	споконвічний
primp	прим
primrose	первоцвіт
primula	примула
prince	князя
principal	головний
principality	князівство
principle	принцип
print	друк
prior	до
priority	пріоритет
prism	призма
prismatic	призматичний
prison	тюрма
pristine	незайманий
privacy	конфіденційність
private	приватний
privateer	приватник
privation	позбавлення
privatize	приватизувати
privet	цвіт
privilege	привілей
privy	таємничий
prize	приз
pro	профі
probability	ймовірність
probable	ймовірний
probate	свідоцтво
probation	умовно
probe	зонд
probity	непокірність
problem	проблема
proboscis	хоботок
procedure	процедура
proceed	продовжувати
proceeding	триває
proceeds	надходження
process	процес
procession	процесія
proclaim	проголошувати
proclivity	завзятість
proconsul	проконсул
procrastinate	зволікати
procreate	відтворити
proctor	проктор
procurator	прокурор
procure	закуповувати
prod	прод
prodigal	блудний
prodigious	блудний
prodigy	блуд
produce	виробляти
producer	виробник
product	продукт
production	виробництво
productive	продуктивні
productivity	продуктивність
profane	негідний
profess	сповідувати
profession	професії
professional	професійний
professor	професор
proffer	пропонувати
proficient	досвідчений
profile	профіль
profit	прибуток
profitable	вигідний
profiteer	прибуток
profligate	розпустити
proforma	проформа
profound	глибокий
profuse	рясний
progenitor	прародитель
progeny	потомство
prognosis	прогноз
prognostic	прогностичний
prognosticate	прогнозувати
progress	прогрес
progression	прогресування
progressive	прогресивний
prohibit	заборонити
prohibition	заборона
prohibitive	заборонний
prohibitory	заборонний
project	проект
projectile	снаряд
projection	проекція
projector	проектор
prolapse	пролапс
proliferate	розмножуватися
prolific	плодовитий
prolix	пролікс
prologue	пролог
prolong	продовжувати
prom	випускний бал
promenade	набережна
promethium	проміум
prominent	видатний
promiscuous	розбещений
promise	обіцянка
promissory	вексель
promontory	мис
promote	сприяти
promotion	просування
prompt	підказка
promptitude	оперативність
promulgate	оприлюднювати
prone	схильний
prong	зубчик
pronominal	прономінальний
pronoun	займенник
pronounce	вимовляти
pronto	швидко
pronunciation	вимова
proof	доказ
prop	опора
propaganda	пропаганда
propagate	розповсюджувати
propane	пропан
propel	привід
propensity	схильність
proper	власне
property	власність
prophecy	пророцтво
prophesy	пророкувати
prophet	пророк
prophetic	пророчий
prophylactic	профілактичний
propinquity	примхливість
propitiate	милосердя
propitious	благодатний
proportion	пропорція
proportional	пропорційний
proportionate	пропорційний
proposal	пропозиція
propose	пропонувати
proposition	пропозиція
propound	пропагувати
proprietary	власницький
proprietor	власник
propriety	власність
propulsion	рушій
prorogue	пророга
prosaic	прозаїчний
proscenium	просценую
proscribe	прописати
prose	проза
prosecute	притягнути до відповідальності
proselyte	прозеліте
prosody	просодія
prospect	перспектива
prospective	перспективний
prospectus	проспект
prosper	процвітати
prosperity	процвітання
prosperous	заможний
prostate	простати
prostitute	повія
prostrate	простувати
prosy	просити
protactinium	протактіній
